Sezione,Prezzo,Categoria

caffetteria
Cornetto, 1.50
Caffè,1.00
Caffè macchiato,1.20
Cappuccino,2.00
Crema di caffè,3.00
Caffè shakerato,3.00
Caffè orzo,1.50
Caffè decaffeinato,1.50
Latte macchiato,1.50
Thé caldo,2.00

bibite
Acqua bott. piccola,1.00
Acqua bott. grande,2.00
Succhi di frutta,3.00
Granite con sciroppi,2.50
Granita Limone,3.50
Coca Cola,3.00
Fanta,3.00
Sprite,3.00
Thé al limone,3.00
Thé alla pesca,3.00
Cedrata,3.00
Lemon Soda,3.00
Oran Soda,3.00
Aranciata amara,3.00
Schweppes limone,3.00
Schweppes arancia,3.00
Gassosa,3.00
Chinotto,3.00
Red Bull,3.50
Orzata,2.50
Menta,2.50

snacks
Patatine, 1.50
Patatine in tubo, 2.50
Bruschette, 1.50

aperitivi e cocktails
Brachetto,3.00
Prosecco,4.00
Aperol soda,3.50
Campari soda,3.50
Apertass,5.00
Aperol Spritz,6.00
Campari Spritz,7.00
Campari Gin,6.00
Vodka Tonic, 6.00
Gin Tonic, 6.00
Gin Tonic con Gin Mare, 10.00
Negroni Sbagliato, 7.00
Mojito, 7.00


birre
Heineken 0.33 cl,3.00
Heineken 0.66 cl,4.00
Peroni 0.33 cl,3.00
Peroni 0.66 cl,4.00
Beck’s,3.00
Nastro Azzurro 0.33 cl, 3.00
Corona,4.00
Tennens,4.00
Ceres,4.00



vino a calice
Gewürztraminer,6.00, Bianchi
Vignolella Fiano,6.00, Bianchi
Falanghina,6.00, Bianchi
Pietralena,6.00, Rossi
Aglianico Campania IGP,6.00, Rossi





panini
Pomodori e rucola, 6.00
Pomodori e mozzarella, 7.00
Pomodori mozzarella e tonno, 8.00
Pomodori mais tonno e rucola, 8.00


ristorazione
Fresella Semplice - pomodori, 6.00
Fresella Completa - pomodori tonno mozzarella mais, 9.00 
Insalatona - lattuga tonno mozzarella mais pomodori, 9.00
Caprese, 9.00
Spaghetto con vongole, 18.00,Pesce - su ordinazione entro 11:30
Gnocchetti con vongole, 18.00,Pesce - su ordinazione entro 11:30
Spaghetto con cozze, 10.00,Pesce - su ordinazione entro 11:30
Impepata di cozze,12.00,Pesce - su ordinazione entro 11:30
Sauté di vongole, 16.00,Pesce - su ordinazione entro 11:30
Frittura di gamberi e calamari (congelati), 20.00,Pesce - su ordinazione entro 11:30
Pasta al pomodoro, 7.00
Insalata di riso, 10.00
Cotoletta e patatine, 12.00
Tagliata di frutta, 6.00
Tagliata di frutta maxi, 12.00





distillati e liquori
Limoncello,3.00
Crema di limone,3.00
Grappa bianca,4.00
Grappa scura,4.00
Grappa 18 lune,4.00
Whisky,4.00
Rum Classico,5.00
Rum Zacapa,6.00
Rum Diplomatico,6.00
Cointreau,3.50
Baileys,3.50
Martini,3.50
Gin,3.50
Sambuca,3.50
Vodka,3.50
Tequila,3.50
Amari,3.50
